ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands
796,simple,SKU-26004762,,"LAPTOP HP INTEL CORE 5-120U 2.0GHZ-8GB-256GB SSD-NATURAL SILVER-15.6""FHD-W11",1,0,visible,"Pantalla: 15.6″FHD 1920 x 1080 pixels. Procesador: Intel Core 5 120U 2.0Ghz hasta 5.0Ghz. Gráficos Integrada. 2 slots DDR4. Sistema Operativo: Windows 11 Home.","Detalles del ProductoLAPTOP HP INTEL CORE 5-120U 2.0GHZ-8GB-256GB SSD-NATURAL SILVER-15.6″FHD-W11Pantalla: 15.6″FHD 1920 x 1080 pixels.Procesador: Intel Core 5 120U 2.0Ghz hasta 5.0Ghz.Gráficos Integrada.Memoria Ram: RAM DDR4-3200 MT/s de 8GB expandible a 16GB (1 x 8 GB).2 slots DDR4Disco duro: unidad de estado sólido PCIe® NVMe™ M.2 de 256 GB.Cámara: Cámara HP True Vision 720p HD con reducción temporal de ruidos y micrófonos digitales de matriz doble integrados.Sistema Operativo: Windows 11 Home.Tarjeta inalámbrica Realtek Wi-Fi 6 (2×2).Bluetooth: 5.4.1 USB Tipo-C / 2 USB Tipo A/ HMDI/.Batería: Duración hasta 10 horas y 15 minutos.",,,taxable,,1,,,0,0,,,,,1,,,"769,98",Laptops,,,https://woostore.obayona.com/wp-content/uploads/2026/07/15-FD1258LA-W11.webp,,,,,,,,,0,
798,simple,SKU-12003970,,"APPLE MACBOOK NEO 13"" A18 PRO 6CPU 5GPU 8GB 256GB BLUSH ESP",1,0,visible,"Procesador: Apple A18 Pro CPU de 6 núcleos (2 de rendimiento y 4 de eficiencia). Memoria RAM: 8 GB de memoria unificada. Almacenamiento: 256 GB SSD.","Detalles del ProductoAPPLE MACBOOK NEO 13"" A18 PRO 6CPU 5GPU 8GB 256GB BLUSH ESPProcesador: Apple A18 Pro CPU de 6 núcleos (2 de rendimiento y 4 de eficiencia).Memoria RAM: 8 GB de memoria unificada.Almacenamiento: 256 GB SSD.Pantalla: Liquid Retina de 13 pulgadas.Color: Rosa Rubor .Conectividad y Puertos: Wi-Fi, Bluetooth, puertos USB-C y entrada para auriculares de 3.5 mm.Diseño: Carcasa de aluminio sin ventiladores (silenciosa). Peso de 1.23 kg y grosor de 12.7 mm.",,,taxable,,1,,,0,0,,,,,1,,,"1029,99",Laptops,,,"https://woostore.obayona.com/wp-content/uploads/2026/07/MHFH4E_A-1.webp, https://woostore.obayona.com/wp-content/uploads/2026/07/MHFH4E_A.webp",,,,,,,,,0,
801,simple,SKU-88356726,,"APPLE MACBOOK NEO 13"" A18 PRO 6CPU 5GPU 8GB 512GB INDIG ESP",1,0,visible,"Procesador: Chip Apple A18 Pro (CPU de 6 núcleos – 2 de rendimiento y 4 de eficiencia – y GPU de 5 núcleos). Memoria RAM: 8 GB de memoria unificada.","Detalles del ProductoAPPLE MACBOOK NEO 13"" A18 PRO 6CPU 5GPU 8GB 512GB INDIG ESPProcesador: Chip Apple A18 Pro (CPU de 6 núcleos – 2 de rendimiento y 4 de eficiencia – y GPU de 5 núcleos).Memoria RAM: 8 GB de memoria unificada..Almacenamiento: 512 GB en disco SSD.Pantalla: Liquid Retina de 13 pulgadas.Color: Índigo (azul profundo).Materiales: Construcción en aluminio.Peso: 1.23 kg.Puertos: Puertos USB-C y conector para auriculares de 3.5 mm.Inalámbrico: Wi-Fi 6E y Bluetooth 5.3..Cámara: FaceTime HD 1080p.",,,taxable,,1,,,0,0,,,,,1,,,"1169,99",Laptops,,,"https://woostore.obayona.com/wp-content/uploads/2026/07/MHFG4E_A-1.webp, https://woostore.obayona.com/wp-content/uploads/2026/07/MHFG4E_A.webp",,,,,,,,,0,
803,simple,CMP-65029632,,"APPLE MACBOOK NEO 13"" A18 PRO 6CPU 5GPU 8GB 256GB INDIG ESP",1,0,visible,"Procesador: Chip Apple A18 Pro (CPU de 6 núcleos: 2 de rendimiento y 4 de eficiencia","GPU de 5 núcleos). Sistema Operativo: macOS. Cámara: FaceTime HD de 1080p.",,,taxable,,1,,,0,0,,,,,1,,,131865825618624582561350032-35-1080,1029.99,Laptops,,https://woostore.obayona.com/wp-content/uploads/2026/07/MHFA4EA.webp,,,,,,,,,0,
805,simple,CMP-92506972,,"LAPTOP LENOVO LOQ 15AHP10 AMD R7-250 3.3GHZ-16GB-1TB SSD-TG RTX5050 8GB-GREY-15.6""FHD-W11+MOUS",1,0,visible,"Pantalla: FHD de 15,6″ (1920 x 1080) IPS de 300 nits antirreflejo, 100 % sRGB, 144 Hz, G-SYNC. Memoria Ram: 1x 16GB SO-DIMM DDR5-5600 2 slots hasta 32GB.","Detalles del ProductoLAPTOP LENOVO LOQ 15AHP10 AMD R7-250 3.3GHZ-16GB-1TB SSD-TG RTX5050 8GB-GREY-15.6""FHD-W11+MOUSPantalla: FHD de 15,6″ (1920 x 1080) IPS de 300 nits antirreflejo, 100 % sRGB, 144 Hz, G-SYNC.Procesador: AMD Ryzen™ 7 250 (8C / 16T, 3.3 / 5.1GHz, 8MB L2 / 16MB L3).Gráficos integrados: NVIDIA® GeForce RTX™ 5050 8 GB GDDR7, frecuencia de reloj de 2662 MHz, TGP 100 W, 440 IA TOPS.Memoria Ram: 1x 16GB SO-DIMM DDR5-5600 2 slots hasta 32GB.Disco duro:1TB SSD M.2 2242 PCIe® 4.0×4 NVMe.Cámara: 5.0MP con obturador electrónico.Teclado: Retroiluminación blanca, español (LA).Panel táctil: multitáctil con superficie Mylar® sin botones, compatible con Precision TouchPad (PTP), 75 x 120 mm (2,95 x 4,72 pulgadas).Sistema Operativo: Windows 11 Home.Bluetooth: 5.3.Wi-Fi® 6, 802,11ax 2×2.3 USB 3.2 Tipo A/ 1 USB 3.2 Tipo C / RJ45 / 1 HDMI/ Jack 3.5mm.Incluye: M100 RGB Mouse.",,,taxable,,1,,,0,0,,,,,1,,,"1939,99",Laptops,,,"https://woostore.obayona.com/wp-content/uploads/2026/07/83JG008XLM-W11-3.webp, https://woostore.obayona.com/wp-content/uploads/2026/07/83JG008XLM-W11-6.webp, https://woostore.obayona.com/wp-content/uploads/2026/07/83JG008XLM-W11-5.webp",,,,,,,,,0,
809,simple,CMP-74831519,,"LAPTOP APPLE MACBOOK PRO M5 - 16GB 1TBSSD 14"" SILVER",1,0,visible,"Pantalla: 14.2″ Liquid Retina XDR (Mini-LED) | Resolución de 3024 x 1964. Procesador: Chip Apple M5 (CPU de 10 núcleos: 4 de rendimiento y 6 de eficiencia).","Detalles del ProductoLAPTOP APPLE MACBOOK PRO M5 – 16GB 1TBSSD 14"" SILVERPantalla: 14.2″ Liquid Retina XDR (Mini-LED) | Resolución de 3024 x 1964.Procesador: Chip Apple M5 (CPU de 10 núcleos: 4 de rendimiento y 6 de eficiencia).Gráficos: GPU de 10 núcleos con trazado de rayos acelerado por hardware.Memoria RAM: 16 GB unificada.Almacenamiento: 1 TB SSD.Conectividad Inalámbrica: Wi-Fi 6E (802.11ax) y Bluetooth.Puertos: MagSafe 3, Thunderbolt 4, y HDMI.",,,taxable,,1,,,0,0,,,,,1,,,"2919,99",Laptops,,,"https://woostore.obayona.com/wp-content/uploads/2026/07/MDE54E_A-2.webp, https://woostore.obayona.com/wp-content/uploads/2026/07/MDE54E_A-1.webp, https://woostore.obayona.com/wp-content/uploads/2026/07/MDE54E_A-3.webp",,,,,,,,,0,
813,simple,CMP-47148110,,"LAPTOP LENOVO GAMING LOQ 15IRX10 CI7-13645HX 2.6GHZ-16GB-1TB SSD-TG RTX5060 8GB-GREY-15.6""FHD-W11",1,0,visible,"Pantalla: 15,6″FHD (1920 x 1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®. Memoria Ram: 1x 16GB SODIMM DDR5-5600. Sistema Operativo: Windows 11 Home.","Detalles del ProductoLAPTOP LENOVO GAMING LOQ 15IRX10 CI7-13645HX 2.6GHZ-16GB-1TB SSD-TG RTX5060 8GB-GREY-15.6""FHD-W11Pantalla: 15,6″FHD (1920 x 1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®.Procesador: Intel Core™ i7-13645HX, 14C (6P + 8E) / 20T, P-core up to 4.9GHz, E-core up to 3.5GHz, 24MB Intel® Smart Cache.Gráficos dedicados:NVIDIA GeForce RTX™ 5060 8GB GDDR7, Boost Clock 2497MHz, TGP 100W, 572 AI TOPS.Memoria Ram: 1x 16GB SODIMM DDR5-5600.Memoria máxima: Dos ranuras DDR5 SODIMM, compatibles con doble canal  hasta 32 GB DDR5-5600.Disco duro: SSD M.2 2242 PCIe® 4.0×4 NVMe® de 1 TB.Cámara: 5,0 MP con obturador electrónico.Sistema Operativo: Windows 11 Home.Bluetooth: 5.2Wi-Fi® 6, 802,11ax 2×2.Teclado blanco retroiluminado, español (LA).3 puertos USB-A (USB 5 Gbps / USB 3.2 Gen 1)/1 puerto USB-C® (USB 10 Gbps / USB 3.2 Gen 2), con USB PD 65-100 W y DisplayPort™ 1.4/1 puerto HDMI® 2.1, hasta 8K/60Hz/ 1 conector combinado para auriculares/micrófono (3,5 mm)/ 1x Ethernet (RJ-45)/ 1 conector de alimenta",,,taxable,,1,,,0,0,,,,,1,,,"2099,99",Laptops,,,"https://woostore.obayona.com/wp-content/uploads/2026/07/83JG008XLM-W11-1.webp, https://woostore.obayona.com/wp-content/uploads/2026/07/83JE0188LM-W11-1.webp, https://woostore.obayona.com/wp-content/uploads/2026/07/83JG008XLM-W11.webp",,,,,,,,,0,
817,simple,SKU-68175411,,"LAPTOP ASUS VIVOBOOK GO 15 AMD R5-40 2.8GHZ-16GB-512GB SSD-GREEN-15.6""FHD+MOUSE+W11",1,0,visible,"Pantalla: 15.6″FHD 1920 x 1080. Procesador: AMD Ryzen 5- 40 (7520U) 2.8Ghz hasta 4.3Ghz. Gráficos integrados: AMD Radeon™. Sistema Operativo: Windows 11 Home.","Detalles del ProductoLAPTOP ASUS VIVOBOOK GO 15 AMD R5-40 2.8GHZ-16GB-512GB SSD-GREEN-15.6""FHD+MOUSE+W11Pantalla: 15.6″FHD 1920 x 1080.Procesador: AMD Ryzen 5- 40 (7520U) 2.8Ghz hasta 4.3Ghz.Gráficos integrados: AMD Radeon™.Memoria Ram: 16GB LPDDR5 (16GB On board).Disco duro: 512GB M.2 NVMe™ PCIe® 3.0 SSD.Cámara: 720p HD con obturador de privacidad.Sistema Operativo: Windows 11 Home.Bluetooth: 5.3 .Wi-Fi 6E(802.11ax) (triple band) 1*1Lector de huellas dactilares.Panel táctil de precisión.1 USB Tipo A / 1 USB 3.2/ 1 USB 2.0 Typo C/ HDMI/ Jack 3.5mm.Dimension (WxHxD) 36.03 x 23.25 x 1.79 ~ 1.79 cm.Peso: 1.63 kg.Incluye mouse usb ASUS.",,,taxable,,1,,,0,0,,,,,1,,,"809,99",Laptops,,,"https://woostore.obayona.com/wp-content/uploads/2026/07/E1504FA-BQ5335-W11-1.webp, https://woostore.obayona.com/wp-content/uploads/2026/07/E1504FA-BQ5335-W11.webp, https://woostore.obayona.com/wp-content/uploads/2026/07/E1504FA-BQ5335-W11-2.webp",,,,,,,,,0,
821,simple,ITM-31109915,,"LAPTOP ASUS VIVOBOOK GO 15 AMD R5-40 2.8GHZ-16GB-512GB SSD-SILVER-15.6""FHD+MOUSE+W11",1,0,visible,"Pantalla: 15.6″FHD 1920 x 1080. Procesador: AMD Ryzen 5 40 Processor 2.8Ghz hasta 4.3Ghz. Gráficos integrados: AMD Radeon™. Sistema Operativo: Windows 11 Home.","Detalles del ProductoLAPTOP ASUS VIVOBOOK GO 15 AMD R5-40 2.8GHZ-16GB-512GB SSD-SILVER-15.6""FHD+MOUSE+W11Pantalla: 15.6″FHD 1920 x 1080.Procesador: AMD Ryzen 5 40 Processor 2.8Ghz hasta 4.3Ghz.Gráficos integrados: AMD Radeon™.Memoria Ram: 16GB LPDDR5 (16GB On board).Disco duro: 512GB M.2 NVMe™ PCIe® 3.0 SSD.Cámara: 720p HD con obturador de privacidad.Sistema Operativo: Windows 11 Home.Bluetooth: 5.3 .Wi-Fi 6E(802.11ax) (triple band) 1*1Panel táctil de precisiónLector de huellas dactilares.1 USB Tipo A / 1 USB 3.2/ 1 USB 2.0 Typo C/ HDMI/ Jack 3.5mm.Dimension (WxHxD) 36.03 x 23.25 x 1.79 ~ 1.79 cm.Peso: 1.63 kg.Incluye  mouse usb ASUS.",,,taxable,,1,,,0,0,,,,,1,,,"799,99",Laptops,,,"https://woostore.obayona.com/wp-content/uploads/2026/07/E1504FA-BQ4360-W11-7.webp, https://woostore.obayona.com/wp-content/uploads/2026/07/E1504FA-BQ4360-W11-6.webp, https://woostore.obayona.com/wp-content/uploads/2026/07/E1504FA-BQ4360-W11.webp",,,,,,,,,0,
825,simple,CMP-73282054,,"LAPTOP ASUS VIVOBOOK GO 15 AMD R5-7520U 2.8GHZ-8GB-512GB SSD-MIXED BLACK-15.6""FHD-W11 TECL INGLES",1,0,visible,"Teclado en Inglés. Pantalla: 15.6″ FHD 1920 x 1080 pixels. Procesador: AMD Ryzen 5 7520U 2.8Ghz hasta 4.3Ghz. Gráficos integrados: AMD Radeon™. Bluetooth®.","Detalles del ProductoLAPTOP ASUS VIVOBOOK GO 15 AMD R5-7520U 2.8GHZ-8GB-512GB SSD-MIXED BLACK-15.6""FHD-W11 TECL INGLESTeclado en InglésPantalla: 15.6″ FHD 1920 x 1080 pixels.Procesador: AMD Ryzen 5 7520U 2.8Ghz hasta 4.3Ghz.Gráficos integrados: AMD Radeon™.Memoria Ram: 8GB LPDDR5 On board.Disco duro: 512GB M.2 NVMe™ PCIe® 3.0 SSD.Cámara: 720p + Protección de privacidad + Micrófono con IA.Sistema Operativo: Windows® 11 Home.Bluetooth®.Wi-Fi 5 (802.11ac) (Dual band).1 USB Tipo-C / 1 USB 3.2 Tipo-A/ 1 USB 2.0 Tipo-A/ HDMI/ Jack 3.5mm.Dimension (WxHxD)  14.19 x 9.15 x 0.7.Peso: 1.3 kg.",,,taxable,,1,,,0,0,,,,,1,,,"619,99",Laptops,,,"https://woostore.obayona.com/wp-content/uploads/2026/07/E1504FA-WS51.webp, https://woostore.obayona.com/wp-content/uploads/2026/07/E1504FA-WS51-1.webp, https://woostore.obayona.com/wp-content/uploads/2026/07/E1504FA-WS51-6.webp",,,,,,,,,0,
